id "A" "L" "\chi" "\beta" "C_1" "C_2" "v_1" "v_2" "\dot v_1" "\dot v_2" "\dot h_1" "\dot h_2" "\dot \psi_1" "\dot \psi_2" "hmd" "vmd" 
58 4 3 2 253.453 2 1 547.549 305.838 -0.714264 0 0 0 0.64111 -1.14998 2.04737 242.498 
59 4 2 1 156.009 2 1 72.576 65.984 2.14587 0.619386 0 0 -0.533336 -0.532172 0.114561 142.2 
60 4 1 2 187.021 1 2 466.878 116.538 0 1.42119 -1490.81 0 0.743766 0 0.923089 79.3437 
61 4 2 2 230.956 2 1 83.8169 346.275 0 0 0 0 0 2.15334 0.15292 497.784 
62 4 1 2 167.191 2 2 371.694 266.001 -2.26542 1.79913 0 0 0 -1.2687 2.89321 828.803 
63 4 2 2 107.831 2 1 74.4558 290.859 0.992472 1.23823 -1070.06 0 -2.58691 0 0.324089 506.061 
64 1 2 1 165.497 1 2 230.753 225.398 0 1.24941 0 0 -0.851391 5.79721 0.0716125 497.106 
65 4 2 2 226.117 2 2 280.902 394.593 0 -1.76092 0 0 0 0 0.434351 308.984 
66 4 1 1 165.922 1 2 278.26 256.34 0 -0.489234 0 0 -0.778418 0 0.430929 212.129 
67 4 1 2 9.21967 2 2 169.247 289.908 0 -3.20244 -470.231 0 0 -0.62419 0.0242173 3746.62 
68 4 2 2 169.603 2 1 458.793 204.645 0.652943 0 0 -883.079 0 0.973793 0.672721 716.118 
69 4 2 2 303.135 2 2 455.803 341.669 2.84305 0 0 -805.487 -0.685556 6.63678 0.197155 705.516 
70 4 1 1 180.075 2 2 215.921 137.464 0 -4.76045 0 0 0.572274 -6.25685 0.0809174 5056.17 
71 4 1 1 86.2095 2 2 456.062 135.227 1.25425 0.903229 871.509 0 -1.64937 0.301361 0.0191619 719.959 
72 4 2 1 158.622 2 2 358.731 210.771 0 -0.906025 0 1535.08 0 5.27192 0.68966 497.604 
73 2 2 2 203.691 2 2 409.809 293.459 1.54905 0 0 0 0 -7.12037 0.0799947 746.69 
74 4 2 1 174.937 2 1 330.075 549.341 -0.715672 -1.16146 0 1715.07 -0.906026 -6.26402 0.0636184 248.908 
75 4 2 2 110.166 2 2 513.371 555.36 1.05904 -1.9918 0 484.128 0 0.994251 1.96994 114.51 
76 4 3 1 61.1225 2 1 362.928 205.594 -4.45596 4.48787 2003.98 0 0 -4.42362 0.80252 36.964 
77 4 2 1 202.443 2 1 57.6359 308.581 4.35147 -1.53993 0 0 0.980127 0.32 0.0714704 36.3297 
78 4 1 1 282.825 2 2 404.352 176.048 2.88255 -4.66765 0 0 0.31879 -1.54078 0.0531231 1811.54 
79 4 2 2 276.869 2 1 310.347 182.998 0 1.20143 0 0 0 -6.79232 0.319198 784.61 
80 4 1 1 127.237 2 2 240.772 311.163 0.592534 0 0 -635.774 0 -0.794018 0.405933 329.154 
81 1 1 1 183.451 2 2 467.17 311.932 -1.74655 0 -432.684 0 0.385536 0 0.191703 577.338 
82 4 1 2 145.681 2 1 151.987 359.008 1.55279 -2.09564 0 0 -0.684052 -0.399141 0.016648 824.23 
83 3 1 2 133.226 2 2 513.523 147.25 -4.81798 -2.13223 0 0 0 1.77335 2.99762 25.6404 
84 4 3 2 312.268 2 2 67.9161 434.623 -2.8654 2.46228 -1155.58 0 -7.40559 -4.76425 0.367618 732.081 
85 1 2 2 261.771 2 2 561.48 244.508 0 0 0 0 0.499831 -3.30538 0.00298916 792.626 
86 4 2 2 173.011 2 2 524.451 282.342 -4.37735 0 0 0 0 6.7264 2.49732 236.677 
87 2 1 2 322.702 2 2 417.24 234.011 -1.91038 4.90752 0 0 0.945405 4.60519 2.23293 835.211 
88 1 1 2 185.979 2 2 324.686 116.169 -1.21975 1.68336 0 0 0 -0.774037 0.620471 718.279 
89 4 2 2 259.93 2 2 334.3 281.562 0 1.8304 0 0 -0.490894 0 0.703868 445.11 
90 4 2 2 210.327 2 1 247.029 320.964 0 4.60716 0 872.599 -1.04978 -2.28203 1.79256 790.708 
91 4 2 1 252.78 2 1 394.188 98.6911 0 -1.87775 0 0 -0.681777 0 2.93772 797.366 
92 4 1 1 167.647 1 2 55.6953 172.675 -1.52617 1.28493 0 0 -1.17045 6.34959 1.08592 782.233 
93 4 2 1 78.377 2 1 75.4664 204.951 1.66797 0 0 989.629 0.922628 -1.61021 0.206241 648.272 
94 4 1 2 158.05 2 1 477.657 390.953 0 -1.78886 0 0 0 3.36123 0.767233 3956.14 
95 4 1 1 178.706 2 2 558.392 284.488 -2.60956 -1.10609 0 0 0 0 0.0349845 5.89592 
96 4 2 2 208.047 2 1 320.409 258.841 0 -1.22108 0 0 3.32532 -7.72007 0.917639 179.437 
97 1 2 2 147.256 1 2 531.579 316.803 0 0.783524 0 -2196.62 0 -6.31496 0.342363 655.887 
98 4 2 1 221.994 2 2 439.303 447.349 -0.897548 1.1642 -747.829 862.011 2.49948 -1.96689 1.86291 434.868 
99 4 1 1 161.334 2 1 424.048 191.842 0 -0.651772 0 0 0 -1.27139 0.13086 763.389 
100 4 1 1 250.67 1 2 199.118 224.495 -1.55647 -2.96036 0 0 0 0.745367 1.64212 233.295 
