initial_id t "\dot h_1(t+1)" "\dot h_2(t+1)" "\dot \psi_1(t+1)" "\dot \psi_2(t+1)" 
4 3 -3925.09 -4379.21 -5.92932 -5.64901 
4 4 -3925.09 -4379.21 -1.41339 7.67586 
4 5 -3925.09 -4379.21 0.329506 0 
4 6 -3925.09 -2894.58 -0.430802 -0.560849 
4 7 -3925.09 -3448.74 3.96553 3.42033 
4 8 -3925.09 -3448.74 0 -0.430742 
4 9 -3925.09 -3448.74 -3.37494 0 
4 10 -2255.24 -3448.74 5.66421 -2.77539 
4 11 -4210.56 -2261.03 0 -4.03078 
4 12 -4210.56 -4951.09 -2.63166 6.4829 
4 13 -4210.56 -4951.09 -5.0982 0 
4 14 -4210.56 -4951.09 7.92698 -1.87814 
4 15 -4895.59 -4951.09 0 -3.68566 
4 16 -3190.15 -4951.09 -1.10398 5.68501 
4 17 -3190.15 -4951.09 -3.70585 0 
4 18 -3190.15 -4951.09 2.3405 -3.07361 
4 19 -3190.15 -4951.09 -0.808493 -5.11268 
4 20 -3190.15 -4951.09 3.54727 -6.89529 
4 21 -3190.15 -4951.09 0 -6.89529 
4 22 -3190.15 -4951.09 -1.37708 -6.89529 
4 23 -3190.15 -4951.09 -4.30853 -0.325509 
4 24 -3190.15 -4951.09 -4.30853 -4.72205 
4 25 -3190.15 -2374.83 -6.98245 -3.08383 
4 26 -3190.15 -3053.71 -5.60222 -3.6232 
4 27 -3190.15 -3053.71 0.42247 6.40737 
4 28 -2709.08 -3053.71 -0.36634 0 
4 29 -3198.82 -3053.71 -3.59853 -2.87384 
4 30 -3198.82 -3053.71 0.688792 -4.54383 
4 31 -3198.82 -2101.85 -0.378354 -4.54383 
4 32 -3198.82 -3370.49 -2.20105 0 
4 33 -3198.82 -3370.49 -4.97526 -2.91789 
4 34 -3198.82 -3370.49 0.730866 -4.57331 
4 35 -3198.82 -3370.49 -0.490583 -4.57331 
4 36 -3198.82 -3370.49 0.360989 2.16827 
4 37 -3198.82 -3370.49 -0.441902 -0.760414 
4 38 -3198.82 -3370.49 -0.441902 6.48796 
4 39 -3198.82 -3370.49 0 0 
4 40 -3198.82 -3370.49 -3.14635 -1.93589 
4 41 -3198.82 -3370.49 -5.65702 -3.90293 
4 42 -3198.82 -3370.49 0.616771 0.322263 
4 43 -3198.82 -3370.49 -0.342214 -0.409235 
4 44 -3198.82 -3847.67 -1.10594 -3.61127 
4 45 -2135.08 -2274.64 -4.00365 -3.61127 
4 46 -3836.11 -3513.55 -7.20222 0 
4 47 -3836.11 -3513.55 -7.20222 -1.82861 
4 48 -3836.11 -3513.55 -7.20222 -4.06266 
4 49 -3836.11 -3513.55 -7.20222 -7.059 
5 0 816.112 -656.021 0 -1.98323 
5 1 -1533.95 -2093.17 -0.361198 -1.98323 
5 2 -2607.11 -4662.18 -3.24234 -5.01638 
5 3 -3756.68 -4662.18 -4.93721 0 
5 4 -3756.68 -4662.18 5.85485 -2.64849 
5 5 -3756.68 -4662.18 0 -3.70556 
5 6 -3756.68 -4662.18 -2.7171 -3.70556 
5 7 -3756.68 -4662.18 -5.65004 -7.62196 
5 8 -3756.68 -4662.18 1.04312 -7.26137 
5 9 -3756.68 -4662.18 -0.70659 -7.26137 
5 10 -3756.68 -4662.18 -2.5157 -7.26137 
5 11 -3756.68 -4662.18 -4.39294 -7.26137 
5 12 -3756.68 -4662.18 -0.939002 -0.458305 
5 13 -3756.68 -4662.18 -3.32879 -1.76556 
5 14 -3756.68 -4662.18 -4.20835 -1.76556 
5 15 -3756.68 -4662.18 -4.20835 -5.73614 
5 16 -3756.68 -4662.18 2.88304 -0.718564 
5 17 -3756.68 -4106.61 -0.340294 -1.60392 
5 18 -3756.68 -4106.61 -1.17789 0 
5 19 -3756.68 -4106.61 -4.13925 -1.60429 
5 20 -3756.68 -4106.61 -6.8291 -4.68433 
5 21 -3756.68 -4106.61 -6.8291 0 
5 22 -3756.68 -4106.61 -6.8291 -2.98418 
5 23 -3756.68 -4106.61 -5.56396 -4.75185 
5 24 -3756.68 -4106.61 -5.56396 -7.90791 
5 25 -3756.68 -4106.61 0 -7.90791 
5 26 -3756.68 -4106.61 -1.34773 -7.90791 
5 27 -3756.68 -4106.61 -4.08451 -7.90791 
5 28 -3756.68 -4425.89 0 -7.90791 
5 29 -3756.68 -4425.89 -0.455801 -7.90791 
5 30 -3756.68 -4425.89 -2.0393 -4.20048 
5 31 -3756.68 -4425.89 -5.88549 2.17177 
5 32 -3756.68 -4425.89 2.69143 -0.660544 
5 33 -3756.68 -4425.89 -0.983872 -2.58677 
5 34 -3756.68 -4425.89 -1.27045 -4.06351 
5 35 -3756.68 -4425.89 -5.13395 -6.01642 
5 36 -3756.68 -4425.89 -5.13395 -6.01642 
5 37 -3756.68 -4425.89 -5.13395 -6.01642 
5 38 -3756.68 -4425.89 3.36516 -6.01642 
5 39 -2496.26 -4425.89 0 -6.01642 
5 40 -4125.06 -4425.89 -2.20402 -0.799771 
5 41 -4125.06 -4425.89 -3.78579 -2.3643 
5 42 -4125.06 -4425.89 7.06835 -4.88097 
5 43 -4125.06 -4425.89 -7.15877 -6.50269 
5 44 -4125.06 -4425.89 4.43033 -4.31146 
5 45 -4125.06 -4425.89 0 -7.75759 
5 46 -4125.06 -4425.89 -2.48248 -7.75759 
5 47 -4125.06 -4425.89 -3.52799 -3.40556 
5 48 -4125.06 -4425.89 -6.75116 -5.8854 
5 49 -4125.06 -4425.89 0.694483 -7.85775 
6 0 0 0 0 0 
6 1 -2292.43 -2157.57 -0.603785 -0.989031 
6 2 -3596.08 -3685.89 -2.22478 -2.15841 
6 3 -3596.08 -3685.89 -5.17052 -3.9448 
6 4 -3596.08 -3685.89 0 -6.2101 
6 5 -3596.08 -3685.89 -2.78325 -6.2101 
6 6 -3596.08 -3685.89 -3.8085 -6.2101 
6 7 -3596.08 -4146.69 -0.751195 -1.45068 
6 8 -3596.08 -3468.05 -1.36805 -5.46758 
6 9 -3596.08 -3498.37 -4.92487 0.546381 
6 10 -3596.08 -3498.37 -3.25507 -0.764384 
6 11 -3596.08 -3498.37 -4.03592 -1.54261 
6 12 -3596.08 -3498.37 0 -3.6332 
6 13 -3596.08 -3498.37 -1.36787 -6.34584 
6 14 -3596.08 -3498.37 -5.41878 -6.34584 
6 15 -3596.08 -3498.37 7.13297 6.02922 
6 16 -4950.77 -3498.37 0 0.917007 
6 17 -4950.77 -3498.37 -1.50702 -0.944863 
6 18 -4950.77 -3498.37 -5.93297 -2.3178 
6 19 -4950.77 -3498.37 4.91627 -4.06824 
6 20 -4950.77 -3498.37 0 -7.80799 
6 21 -4950.77 -3498.37 -1.67335 -7.80799 
6 22 -4950.77 -3498.37 -5.19614 -7.80799 
6 23 -4950.77 -3498.37 -0.841753 -7.80799 
6 24 -4950.77 -3498.37 -2.66053 -7.80799 
6 25 -4950.77 -3498.37 -5.58647 -7.80799 
6 26 -4950.77 -3498.37 -3.47877 -7.80799 
6 27 -4950.77 -3498.37 -5.34774 -7.80799 
6 28 -4950.77 -3498.37 4.93098 -7.80799 
6 29 -4950.77 -3498.37 0 -7.80799 
6 30 -4950.77 -3498.37 -1.5995 -7.80799 
6 31 -4950.77 -4694.31 -3.65721 -7.80799 
6 32 -4950.77 -4694.31 6.21474 -7.80799 
6 33 -4950.77 -4694.31 0.317291 -7.80799 
6 34 -4950.77 -4301.64 -0.311331 -3.84035 
6 35 -4146.34 -4301.64 -1.54573 -6.4833 
6 36 -4146.34 -4301.64 6.96442 -6.4833 
6 37 -4146.34 -4301.64 0.553616 -6.4833 
6 38 -4146.34 -4301.64 -0.369582 -4.66701 
6 39 -4146.34 -4301.64 -0.836002 -7.5418 
6 40 -4146.34 -4301.64 -3.35937 -7.5418 
6 41 -4146.34 -4301.64 -4.08956 -7.26998 
6 42 -4146.34 -4301.64 0 -7.26998 
6 43 -4146.34 -4301.64 -2.06883 -5.72555 
6 44 -4146.34 -4301.64 -5.77635 -5.72555 
6 45 -4146.34 -4301.64 -0.35 -6.55758 
6 46 -4146.34 -4301.64 -2.08988 -6.55758 
6 47 -3448.08 -4301.64 -4.77513 -4.32583 
6 48 -3448.08 -4301.64 -2.78502 5.78007 
6 49 -2006.16 -4301.64 -2.78502 0 
7 0 0 0 -0.737809 4.45665 
7 1 -2117.96 -2598.08 -2.02195 0 
7 2 -4879.17 -4357.08 -2.02195 -0.569389 
7 3 -4879.17 -4357.08 -4.84151 -4.832 
7 4 -4879.17 -4357.08 0 0 
7 5 -4879.17 -2177.88 -1.38381 -0.598691 
7 6 -2960 -4981.06 2.3624 -4.72642 
7 7 -3271.3 -4996.25 -0.748642 0.831337 
7 8 -3271.3 -4996.25 -7.50182 -0.479584 
7 9 -3271.3 -4996.25 -7.50182 6.89352 
7 10 -3271.3 -4996.25 -7.50182 0 
7 11 -3271.3 -4996.25 -7.50182 -1.78126 
7 12 -3271.3 -4358.23 -3.82052 -5.93389 
7 13 -3271.3 -4358.23 2.18225 -5.93389 
7 14 -4273.94 -4358.23 -0.710514 2.89622 
7 15 -4273.94 -2303.38 2.9049 0 
7 16 -4273.94 -3531.71 -0.543975 -1.78053 
7 17 -4273.94 -3531.71 4.17413 -4.65144 
7 18 -4273.94 -3531.71 0 0 
7 19 -4273.94 -3531.71 -2.67113 -2.38626 
7 20 -4273.94 -3531.71 -5.48299 -5.30948 
7 21 -4273.94 -3531.71 6.41044 0.873533 
7 22 -4273.94 -3531.71 0 -0.326473 
7 23 -4273.94 -2579.92 -3.00847 -3.31579 
7 24 -4273.94 -3621.89 -4.44749 -3.97141 
7 25 -4273.94 -2860.48 -7.04016 -3.97141 
7 26 -4273.94 -4995.2 -7.04016 0 
7 27 -4273.94 -4995.2 2.08773 -1.40563 
7 28 -4273.94 -4995.2 -0.820166 -5.64174 
7 29 -4273.94 -4995.2 -6.40219 -5.64174 
7 30 -4273.94 -4995.2 -6.40219 1.81367 
7 31 -4273.94 -4995.2 -0.807714 -0.905289 
7 32 -4273.94 -4995.2 -3.7673 -4.56505 
7 33 -4273.94 -4995.2 -3.7673 0.558171 
7 34 -4273.94 -4995.2 0.472728 -0.340886 
7 35 -4273.94 -2812.68 -0.825444 -1.38545 
7 36 -4273.94 -4039.54 -3.40045 -6.25413 
7 37 -4273.94 -4039.54 -3.93019 -6.25413 
7 38 -4273.94 -4838.91 0 -6.25413 
7 39 -4273.94 -4838.91 -1.05359 0.377533 
7 40 -4273.94 -4838.91 -5.5499 0 
7 41 -4273.94 -4838.91 -7.72927 -1.93702 
7 42 -4273.94 -4838.91 -7.72927 -3.63122 
7 43 -4273.94 -4838.91 -7.72927 -3.63122 
7 44 -4273.94 -4838.91 3.83174 -3.24936 
7 45 -4273.94 -4838.91 0 -5.04193 
7 46 -4273.94 -4838.91 -2.49349 4.37654 
7 47 -4273.94 -4838.91 -4.30085 0 
7 48 -4273.94 -4838.91 5.94449 -2.81934 
7 49 -4273.94 -4838.91 0 -5.33291 
8 0 0 0 3.23386 2.74196 
8 1 -2342.07 -2084.66 0 0 
8 2 -4944.53 -3647.17 -2.36178 -2.71507 
8 3 -4944.53 -3647.17 -5.99488 -3.853 
8 4 -4944.53 -3647.17 -1.23208 4.77172 
8 5 -4944.53 -3647.17 -4.30759 0 
8 6 -4944.53 -3647.17 -1.78177 -2.42641 
8 7 -4944.53 -3647.17 -5.50813 -3.75275 
8 8 -4944.53 -3647.17 7.66192 0 
8 9 -4944.53 -3647.17 0 -1.33976 
8 10 -4944.53 -3647.17 -3.14874 -3.59538 
8 11 -4944.53 -3647.17 0.574857 3.50842 
8 12 -4944.53 -3647.17 -0.494848 0 
8 13 -4944.53 -3647.17 -4.37551 -2.94655 
8 14 -4944.53 -3647.17 -7.57593 -4.85977 
8 15 -2551.86 -3647.17 0.799642 1.81517 
8 16 -3515.03 -3647.17 -0.544732 -0.785388 
8 17 -4005.42 -3647.17 -6.02425 -7.47121 
8 18 -4005.42 -3647.17 -6.59245 -7.47121 
8 19 -4005.42 -2582.78 -4.41251 0.382457 
8 20 -4005.42 -4917.07 6.85088 -0.944371 
8 21 -4005.42 -4917.07 0 -5.45987 
8 22 -4005.42 -4917.07 -2.71846 0 
8 23 -4005.42 -4917.07 -4.82456 -3.30489 
8 24 -4005.42 -4917.07 7.8915 -4.96597 
8 25 -4005.42 -4917.07 0 -7.6181 
8 26 -4005.42 -4917.07 -3.1976 -7.6181 
8 27 -4005.42 -4917.07 -4.78431 -7.6181 
8 28 -4005.42 -4917.07 0 -6.16691 
8 29 -2564.99 -4917.07 -0.930781 -6.16691 
8 30 -3800.02 -4917.07 -6.40561 -6.16691 
8 31 -2126.8 -2569.34 -5.04532 -4.69825 
8 32 -3134.92 -4914.09 2.29502 4.43414 
8 33 -3134.92 -4914.09 -0.481971 0 
8 34 -3134.92 -4914.09 5.12135 -1.37164 
8 35 -3134.92 -4914.09 0 -4.8846 
8 36 -3134.92 -4914.09 -3.15801 0 
8 37 -3838.13 -4914.09 -5.8774 -1.88482 
8 38 -3838.13 -4914.09 -7.52513 -4.33837 
8 39 -3838.13 -4914.09 -3.54926 0 
8 40 -3838.13 -4914.09 -7.31567 -0.623573 
8 41 -3838.13 -4914.09 6.90345 0 
8 42 -4734.56 -4914.09 0 -3.41956 
8 43 -4734.56 -4914.09 -3.42818 -5.53721 
8 44 -4734.56 -4914.09 -5.58095 6.14079 
8 45 -4734.56 -2246.22 7.69949 0.614969 
8 46 -4734.56 -4645.86 0 -0.863594 
8 47 -4734.56 -4645.86 -2.29552 -3.93695 
8 48 -4734.56 -4645.86 -5.12983 0.298912 
8 49 -4734.56 -4645.86 0 -0.754227 
9 0 -652.511 569.113 0.477697 0 
9 1 -2521.83 -1886.75 -0.388734 -0.546528 
9 2 -4040.23 -2786.18 -1.58832 -1.06093 
9 3 -4040.23 -4527.8 -3.61621 -4.33919 
9 4 -4040.23 -4527.8 0.540238 -4.33919 
9 5 -4040.23 -4527.8 -0.518663 7.73464 
9 6 -4040.23 -4527.8 -4.5186 0.765163 
9 7 -4040.23 -3658.1 0.440406 -0.588272 
9 8 -4040.23 -3658.1 0 -1.53141 
9 9 -4040.23 -3658.1 -0.674461 -1.53141 
9 10 -4040.23 -4711.45 -2.84105 -4.35668 
9 11 -4040.23 -4711.45 -5.87463 -6.67685 
9 12 -4040.23 -4711.45 4.66469 -6.67685 
9 13 -4040.23 -4711.45 0 -6.67685 
9 14 -4040.23 -4711.45 -3.2129 -6.67685 
9 15 -4040.23 -4711.45 -5.64231 -6.67685 
9 16 -4040.23 -4711.45 4.31111 -6.67685 
9 17 -4040.23 -4711.45 0 5.62447 
9 18 -4040.23 -4711.45 -2.95977 0 
9 19 -4040.23 -4711.45 -3.81801 -2.08093 
9 20 -3130.37 -4711.45 -6.36615 -4.90313 
9 21 -3130.37 -4711.45 -6.36615 0 
9 22 -3130.37 -4711.45 -6.36615 -2.08023 
9 23 -3130.37 -4711.45 -6.36615 -5.46658 
9 24 -3130.37 -4711.45 -6.36615 -6.43377 
9 25 -3918.51 -4711.45 -6.36615 -6.43377 
9 26 -3918.51 -4711.45 -6.36615 -5.24158 
9 27 -3918.51 -4711.45 -6.36615 0 
9 28 -3918.51 -4711.45 -6.36615 -1.53685 
9 29 -3918.51 -4711.45 0.288199 -3.52573 
9 30 -2237.66 -4711.45 -0.688499 1.36301 
9 31 -4003.38 -4711.45 -1.98779 -0.313647 
9 32 -4003.38 -2065.16 -4.55524 -3.42153 
9 33 -4003.38 -4697.2 1.96941 -5.57867 
9 34 -4003.38 -4697.2 -0.646929 -6.93741 
9 35 -4003.38 -4697.2 -1.77193 -6.93741 
9 36 -4003.38 -4697.2 -3.55941 -6.93741 
9 37 -4003.38 -4697.2 -3.55941 -6.93741 
9 38 -3474.49 -4697.2 -7.13735 -6.93741 
9 39 -3474.49 -4697.2 5.11297 -6.93741 
9 40 -3474.49 -4697.2 0 -6.93741 
9 41 -3474.49 -4697.2 -2.15759 -6.93741 
9 42 -3474.49 -4697.2 -4.06134 -5.51519 
9 43 -3474.49 -4697.2 -2.70929 -5.51519 
9 44 -3474.49 -4697.2 -5.5972 -7.40682 
9 45 -3474.49 -4697.2 0 -7.40682 
9 46 -3474.49 -4697.2 -3.08747 -7.40682 
9 47 -3474.49 -4697.2 -3.67507 -7.40682 
9 48 -3474.49 -4697.2 0 -7.40682 
9 49 -3474.49 -4697.2 -1.33227 -7.40682 
10 0 3972.43 0 0 -1.38535 
10 1 -988.333 -2086.64 0 -1.38535 
10 2 -2198.43 -3887.12 -0.833705 -4.10251 
10 3 -2482.57 -3887.12 -2.63457 -6.54017 
10 4 -3727 -3887.12 -5.00117 -0.995781 
10 5 -3727 -3887.12 -0.92517 -1.59303 
10 6 -3727 -3887.12 -1.80856 -3.99946 
10 7 -2236.43 -3887.12 -1.80856 -6.71255 
10 8 -3931.73 -3887.12 -5.38515 7.56266 
10 9 -3931.73 -3887.12 -2.52465 0.472358 
10 10 -3931.73 -3887.12 -4.29293 -0.553801 
10 11 -3931.73 -4776.83 0 -1.66741 
10 12 -3931.73 -4015.81 -2.78633 -4.36658 
10 13 -3931.73 -4015.81 -4.6402 -6.84037 
10 14 -3931.73 -4015.81 0.968877 -6.84037 
10 15 -3931.73 -4015.81 -0.412058 -6.84037 
10 16 -3931.73 -2495.05 -2.84181 -6.84037 
10 17 -3931.73 -4188.02 -3.59993 -6.84037 
10 18 -3931.73 -4188.02 4.96697 -6.84037 
10 19 -3523.06 -4188.02 0 -4.55902 
10 20 -3523.06 -4188.02 -1.96798 0.751666 
10 21 -2128.83 -4188.02 -1.96798 -0.895685 
10 22 -4809.74 -4188.02 -5.8192 -5.61684 
10 23 -4809.74 -4188.02 -5.8192 -0.645915 
10 24 -4809.74 -4188.02 -6.90566 -1.66326 
10 25 -4809.74 -4188.02 -6.90566 7.02218 
10 26 -4655.55 -4188.02 -6.90566 0.809375 
10 27 -4655.55 -4188.02 -6.90566 -0.428633 
10 28 -4655.55 -4188.02 -6.90566 -2.65734 
10 29 -4655.55 -4188.02 -6.90566 -5.3942 
10 30 -4655.55 -4188.02 -6.90566 -6.95864 
10 31 -4655.55 -4188.02 -6.90566 -6.95864 
10 32 -4655.55 -4188.02 -5.8247 -6.95864 
10 33 -4655.55 -4188.02 0.35161 0.930954 
10 34 -4655.55 -4188.02 -0.699997 -0.871826 
10 35 -4655.55 -4188.02 -1.04098 -3.08803 
10 36 -4655.55 -4188.02 -5.2946 -3.93663 
10 37 -3984.69 -4188.02 0 -6.7516 
10 38 -3984.69 -4188.02 -1.20444 -6.7516 
10 39 -3984.69 -4188.02 -5.05696 -3.74745 
10 40 -3984.69 -4188.02 -0.321154 -6.01658 
10 41 -3984.69 -4188.02 -2.48524 -6.01658 
10 42 -3984.69 -4188.02 -4.23535 -6.01658 
10 43 -3984.69 -4188.02 4.95639 -6.01658 
10 44 -3984.69 -4188.02 0 -6.01658 
10 45 -3984.69 -4188.02 -3.46538 0 
10 46 -3984.69 -4188.02 -5.50043 -2.91065 
10 47 -3984.69 -4188.02 -2.25628 -4.63108 
10 48 -3984.69 -4188.02 -5.8839 7.56553 
10 49 -3984.69 -4188.02 -1.98475 0.60534 
